                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                  1.798,                 1.4027,                 1.5199,                0.66605,                0.62816,                0.65688,                 0.2789,                 1.9785,                 1.4401,                 1.7626,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.7517,                 1.3828,                 1.5193,                0.65557,                0.62094,                 0.6258,                 0.2721,                 1.9751,                 1.4246,                 1.8173,              0.0008714,              0.0008714,              0.0008714
                     59,                  1.799,                 1.3833,                 1.5078,                0.66409,                0.62816,                0.63104,                0.27917,                  1.986,                 1.4586,                 1.7644,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.8174,                 1.4014,                 1.5119,                0.65553,                0.64579,                0.64392,                0.28042,                 1.9708,                 1.4274,                 1.7259,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7647,                 1.3585,                 1.5081,                0.65367,                0.56895,                0.60238,                0.25341,                 1.9866,                 1.4428,                 1.7308,               0.000812,               0.000812,               0.000812
                     62,                 1.7721,                 1.3494,                 1.4942,                0.70027,                0.61733,                0.63127,                0.27346,                 1.9661,                 1.4521,                 1.7627,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7685,                 1.3586,                 1.5034,                0.64679,                0.63794,                0.63947,                0.27822,                 1.9242,                 1.4724,                 1.7105,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7608,                 1.3327,                 1.4826,                0.66683,                0.62455,                0.64312,                0.27823,                 1.9407,                 1.4622,                 1.7151,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7338,                 1.3195,                  1.497,                0.67518,                0.65884,                 0.6421,                0.27418,                 1.9103,                 1.5189,                 1.7123,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7382,                  1.293,                 1.4909,                0.64463,                0.59928,                0.62234,                0.26966,                 1.9739,                 1.4298,                 1.7104,               0.000713,               0.000713,               0.000713
                     67,                 1.7613,                 1.3202,                 1.4787,                0.67046,                0.64079,                 0.6505,                0.28877,                 1.9798,                 1.4192,                 1.7445,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7605,                 1.3148,                 1.4926,                 0.6979,                0.61552,                0.64227,                0.27774,                 2.0149,                 1.3921,                 1.7768,              0.0006734,              0.0006734,              0.0006734
